iter	RMSE
0	3.949513286
1	3.626212312
2	3.334686567
3	3.069308012
4	2.829693135
5	2.617563202
6	2.435582803
7	2.272952868
8	2.127925191
9	1.995476292
10	1.878370234
11	1.77728483
12	1.690581748
13	1.61552066
14	1.549756818
15	1.489147626
16	1.440942631
17	1.39927924
18	1.360358653
19	1.330160907
20	1.308824137
21	1.283742363
22	1.264630714
23	1.247852419
24	1.232841299
25	1.217505606
26	1.203381844
27	1.192145665
28	1.181678958
29	1.173739086
30	1.165897002
31	1.160016706
32	1.153510546
33	1.14711883
34	1.141646081
35	1.13558846
36	1.129193777
37	1.124705513
38	1.119966529
39	1.118140619
40	1.114832796
41	1.112415367
42	1.11154977
43	1.109215372
44	1.106133171
45	1.105529045
46	1.104299597
47	1.102933248
48	1.099374771
49	1.099233425
50	1.098128602
51	1.09730824
52	1.095136107
53	1.094255906
54	1.093106773
55	1.09151404
56	1.089062714
57	1.086863419
58	1.084009952
59	1.08328702
60	1.081683048
61	1.079112801
62	1.0788046
63	1.075710404
64	1.075173534
65	1.074176263
66	1.073180405
67	1.070749843
68	1.070164041
69	1.068557312
70	1.067564424
71	1.064307382
72	1.062045019
73	1.060744121
74	1.058109919
75	1.057698797
76	1.055174842
77	1.0533203
78	1.049629532
79	1.046395363
80	1.045015305
81	1.043973226
82	1.042267205
83	1.041250052
84	1.03908996
85	1.036862654
86	1.03521745
87	1.0328115
88	1.03154225
89	1.0303499
90	1.029539007
91	1.027664701
92	1.025105878
93	1.02402638
94	1.023293347
95	1.021945699
96	1.020796716
97	1.019025594
98	1.018300327
99	1.01747325
