iter	Passed	Remaining
0	150	149901
1	154	77063
2	159	53162
3	164	41034
4	169	33803
5	174	28960
6	179	25399
7	183	22697
8	186	20482
9	190	18840
10	194	17507
11	201	16552
12	205	15591
13	209	14772
14	214	14060
15	218	13429
16	222	12876
17	226	12379
18	231	11971
19	234	11495
20	237	11070
21	240	10670
22	241	10279
23	244	9926
24	246	9601
25	248	9293
26	249	8994
27	250	8700
28	252	8442
29	253	8205
30	255	7994
31	257	7786
32	258	7584
33	260	7393
34	261	7199
35	262	7028
36	263	6864
37	265	6711
38	266	6568
39	267	6426
40	269	6293
41	270	6159
42	270	6031
43	271	5906
44	272	5789
45	273	5678
46	274	5569
47	275	5464
48	276	5363
49	277	5267
50	278	5177
51	279	5088
52	279	5001
53	280	4918
54	281	4838
55	282	4761
56	283	4688
57	284	4618
58	285	4549
59	286	4485
60	287	4421
61	288	4361
62	289	4302
63	289	4239
64	290	4182
65	291	4128
66	292	4075
67	293	4023
68	294	3973
69	295	3924
70	296	3875
71	296	3827
72	297	3781
73	298	3737
74	299	3695
75	300	3654
76	301	3618
77	303	3581
78	304	3544
79	305	3507
80	305	3468
81	306	3432
82	307	3396
83	308	3361
84	309	3326
85	309	3293
86	310	3260
87	311	3227
88	312	3196
89	313	3166
90	314	3137
91	314	3107
92	316	3083
93	317	3057
94	318	3032
95	319	3008
96	320	2982
97	321	2956
98	322	2930
99	322	2905
100	323	2880
101	324	2856
102	325	2832
103	326	2808
104	326	2785
105	327	2762
106	328	2740
107	329	2718
108	329	2696
109	331	2678
110	331	2656
111	332	2632
112	332	2613
113	333	2595
114	334	2577
115	335	2558
116	336	2539
117	337	2520
118	338	2502
119	338	2484
120	339	2466
121	340	2448
122	341	2431
123	341	2415
124	342	2399
125	343	2383
126	344	2367
127	345	2353
128	346	2340
129	347	2325
130	348	2311
131	349	2298
132	350	2283
133	351	2268
134	351	2253
135	352	2239
136	353	2225
137	354	2211
138	354	2197
139	355	2184
140	356	2171
141	357	2158
142	358	2145
143	358	2132
144	359	2120
145	360	2109
146	361	2098
