iter	RMSE
0	4.283362002
1	4.130399729
2	3.984443364
3	3.846202303
4	3.712594226
5	3.587044748
6	3.467680477
7	3.351558236
8	3.244734828
9	3.137074637
10	3.040269089
11	2.943522874
12	2.852594564
13	2.769082038
14	2.682379827
15	2.605613355
16	2.528517913
17	2.458173954
18	2.390568864
19	2.327579076
20	2.263798649
21	2.205392984
22	2.148495348
23	2.094216639
24	2.042034194
25	1.991842028
26	1.947142644
27	1.901812305
28	1.858855972
29	1.817358511
30	1.780963458
31	1.744384219
32	1.710847168
33	1.678267743
34	1.648141847
35	1.619781307
36	1.592146008
37	1.566554557
38	1.542085132
39	1.521345496
40	1.500627717
41	1.479798401
42	1.458878408
43	1.441847374
44	1.426054801
45	1.410023863
46	1.395997709
47	1.381914186
48	1.369667169
49	1.358453105
50	1.347988008
51	1.337016285
52	1.326729595
53	1.31697004
54	1.306609478
55	1.298926605
56	1.291966172
57	1.284930833
58	1.276405941
59	1.27076539
60	1.263818413
61	1.258821841
62	1.251450085
63	1.246374302
64	1.241365643
65	1.237714207
66	1.231713135
67	1.225919301
68	1.221777713
69	1.217932185
70	1.214979139
71	1.212286932
72	1.209717043
73	1.206357011
74	1.203103944
75	1.200245504
76	1.197640731
77	1.194354961
78	1.191217442
79	1.18808814
80	1.185836418
81	1.183771445
82	1.181298703
83	1.180153289
84	1.17819686
85	1.174488086
86	1.171944537
87	1.169451736
88	1.168095803
89	1.165394908
90	1.163240289
91	1.162093621
92	1.159697694
93	1.158010205
94	1.156273476
95	1.155294851
96	1.153471557
97	1.15181045
98	1.150522328
99	1.149495114
100	1.14836457
101	1.14725339
102	1.146118348
103	1.145108315
104	1.142997226
105	1.141674264
106	1.140469649
107	1.139795392
108	1.138899739
109	1.137157763
110	1.136907708
111	1.135988353
112	1.135067647
113	1.132566253
114	1.131937064
115	1.131007055
116	1.130127894
117	1.129830395
118	1.129423172
119	1.128675996
120	1.127695666
121	1.127212771
122	1.126370502
123	1.125003863
124	1.123908973
125	1.122914096
126	1.122431364
127	1.121016923
128	1.119924976
129	1.119584809
130	1.118726453
131	1.117275456
132	1.116801195
133	1.116317337
134	1.115196513
135	1.11440337
136	1.112774285
137	1.11223823
138	1.111404219
139	1.111037844
140	1.110389568
141	1.109115066
142	1.107693868
143	1.106837608
144	1.105956132
145	1.104161295
146	1.103961606
147	1.103013856
148	1.102660338
149	1.101002132
150	1.100663072
151	1.099277703
152	1.098505089
153	1.09767958
154	1.097268322
155	1.096835268
156	1.096343439
157	1.095645731
158	1.093994413
159	1.093571144
160	1.092249214
161	1.090439441
162	1.089819728
163	1.089450093
164	1.088316003
165	1.087765846
166	1.086764278
167	1.086107851
168	1.085030503
169	1.084363638
170	1.084033328
171	1.082961042
172	1.082074362
173	1.08161023
174	1.081142945
175	1.079812834
176	1.079538446
177	1.079039712
178	1.078488535
179	1.076660209
180	1.075244476
181	1.075003152
182	1.073660253
183	1.07341644
184	1.071854954
185	1.071296809
186	1.070351379
187	1.069173231
188	1.06810106
189	1.067860386
190	1.067570675
191	1.066483066
192	1.065878585
193	1.064577078
194	1.064298866
195	1.063744653
196	1.063172377
197	1.062636298
198	1.061262732
199	1.060922696
200	1.060526578
201	1.059182659
202	1.058522298
203	1.057186937
204	1.056908178
205	1.056613156
206	1.056196858
207	1.055959545
208	1.055715971
209	1.054835642
210	1.053942523
211	1.052858383
212	1.052628159
213	1.052204286
214	1.051823775
215	1.051259568
216	1.051101775
217	1.050298373
218	1.049932637
219	1.048846867
220	1.048105952
221	1.047765876
222	1.046849349
223	1.046470834
224	1.046095406
225	1.045308249
226	1.044299812
227	1.044103203
228	1.043354205
229	1.043077474
230	1.042558071
231	1.042362688
232	1.041445148
233	1.040751377
234	1.040056561
235	1.039823523
236	1.038664327
237	1.037776578
238	1.036821175
239	1.036162441
240	1.03506593
241	1.034690676
242	1.033954998
243	1.03348085
244	1.032471465
245	1.032219482
246	1.031981194
247	1.031622846
248	1.031242613
249	1.030506759
250	1.03019044
251	1.029783297
252	1.029332212
253	1.028939432
254	1.028220045
255	1.02802363
256	1.027806818
257	1.027629943
258	1.026745964
259	1.026184119
260	1.025091009
261	1.024905113
262	1.024705064
263	1.024085049
264	1.023416236
265	1.022454833
266	1.021878609
267	1.021571083
268	1.02098735
269	1.020437615
270	1.020102239
271	1.019965299
272	1.019798951
273	1.019479454
274	1.019212134
275	1.018925107
276	1.018100307
277	1.01787231
278	1.017616133
279	1.017081665
280	1.016916634
281	1.016257087
282	1.015364126
283	1.014823042
284	1.014582714
285	1.014288871
286	1.013516917
287	1.013008597
288	1.012869871
289	1.012407019
290	1.011961772
291	1.01110175
292	1.010200609
293	1.009975508
294	1.009483218
295	1.009362566
296	1.008428656
297	1.007571202
298	1.006591258
299	1.006134688
300	1.005178407
301	1.004985901
302	1.004682434
303	1.004158001
304	1.003858176
305	1.003730394
306	1.003457294
307	1.002626815
308	1.002100536
309	1.001907166
310	1.001552215
311	1.000992419
312	1.000361087
313	0.9999149543
314	0.999644699
315	0.9987560723
316	0.9984068406
317	0.9980141945
318	0.9976444401
319	0.9973486149
320	0.9971328406
321	0.9970131263
322	0.9964210621
323	0.9962926044
324	0.9959203397
325	0.9954661146
326	0.9946384354
327	0.9939767239
328	0.9931601961
329	0.9927560793
330	0.9920790987
331	0.9917266381
332	0.9912637932
333	0.9910876458
334	0.990868416
335	0.9902196461
336	0.9901249273
337	0.9898220057
338	0.9890877352
339	0.9888148712
340	0.9882252911
341	0.9876922023
342	0.98731364
343	0.9869370563
344	0.9865105564
345	0.9863687784
346	0.9862927955
347	0.9859881225
348	0.9856176641
349	0.9855269769
350	0.9848898581
351	0.9845488167
352	0.9839407723
353	0.9831982523
354	0.9825399963
355	0.9820034925
356	0.9817107275
357	0.981457788
358	0.9808307436
359	0.9806549808
360	0.9804040794
361	0.9802615683
362	0.9801399961
363	0.9799906467
364	0.9797595547
365	0.979336159
366	0.9790172598
367	0.9789450622
368	0.9783409858
369	0.9778483834
370	0.9777549739
371	0.9772144348
372	0.9769253708
373	0.9766755239
374	0.9761689737
375	0.9759999106
376	0.975907923
377	0.975618466
378	0.9751326852
379	0.9746565044
380	0.9746359692
381	0.9743670422
382	0.9741031797
383	0.9737290632
384	0.9731832344
385	0.9731068224
386	0.9725447246
387	0.972462357
388	0.9722291824
389	0.9721644114
390	0.9716913753
391	0.9715146975
392	0.970878098
393	0.9707610461
394	0.9704838493
395	0.9699762334
396	0.9697297023
397	0.9693786945
398	0.9691168484
399	0.9687773525
400	0.9682661491
401	0.9681025458
402	0.9678796043
403	0.9676134546
404	0.9673753684
405	0.967199403
406	0.9670374346
407	0.9669032408
408	0.9665637489
409	0.9663555941
410	0.9662093935
411	0.9657850463
412	0.9655684181
413	0.9654228477
414	0.9651869411
415	0.9651021762
416	0.9647280063
417	0.9645865197
418	0.9645655637
419	0.9643872858
420	0.9639651431
421	0.9636842049
422	0.9634633915
423	0.9631688126
424	0.9629093611
425	0.9627279857
426	0.9622817919
427	0.9620595689
428	0.9618791074
429	0.9614618018
430	0.9612750314
431	0.9610683284
432	0.9608636096
433	0.9606992691
434	0.9604780451
435	0.960356532
436	0.9600193081
437	0.9595470226
438	0.9594462528
439	0.9593507287
440	0.9591594389
441	0.9591488927
442	0.9590533607
443	0.9589854419
444	0.9585879436
445	0.9583985076
446	0.9580242191
447	0.9577461578
448	0.9573700492
449	0.9572538957
450	0.956849188
451	0.9566234461
452	0.9564686962
453	0.9563729254
454	0.9562014273
455	0.955888021
456	0.9556079183
457	0.9552493703
458	0.9550662751
459	0.9550465788
460	0.9548311798
461	0.9548170812
462	0.9544132097
463	0.9542956355
464	0.9541494768
465	0.9541444072
466	0.953945241
467	0.9538024072
468	0.9535314631
469	0.9531821061
470	0.9531711446
471	0.9530117205
472	0.9526678508
473	0.9525060838
474	0.9524426015
475	0.9519467501
476	0.951613479
477	0.9512804852
478	0.9508828106
479	0.950578209
480	0.9504955399
481	0.9504823944
482	0.950292902
483	0.9501429404
484	0.9500393743
485	0.9497533977
486	0.9493992979
487	0.9492674199
488	0.9490574087
489	0.9488646609
490	0.9485168809
491	0.9484540081
492	0.9481430253
493	0.948111742
494	0.9478625805
495	0.9477613229
496	0.9475977355
497	0.9474360577
498	0.9471909975
499	0.9468500844
500	0.9465462842
501	0.9461807438
502	0.9457624973
503	0.9456593485
504	0.945459267
505	0.9452585291
506	0.945196453
507	0.9451801737
508	0.9449062627
509	0.944827384
510	0.9446733992
511	0.9446068479
512	0.9444919943
513	0.9443194355
514	0.9440839864
515	0.9440095093
516	0.9438657694
517	0.9435708646
518	0.9434674223
519	0.9432580748
520	0.9430027602
521	0.9429052649
522	0.942852081
523	0.9425661647
524	0.942296297
525	0.942279958
526	0.9420837022
527	0.9418286075
528	0.9417091759
529	0.9413386627
530	0.9412027901
531	0.9410806559
532	0.9409723701
533	0.9407782816
534	0.9406206681
535	0.9405567802
536	0.9405054232
537	0.9403797362
538	0.94024746
539	0.9401675237
540	0.9400443113
541	0.9398710025
542	0.939715263
543	0.9395938516
544	0.9395214589
545	0.93941802
546	0.9393467282
547	0.9392417041
548	0.939120844
549	0.9390290648
550	0.9388803129
551	0.9388422465
552	0.9388277189
553	0.9388132982
554	0.9385302603
555	0.9382431702
556	0.9382364321
557	0.9381247964
558	0.9379363285
559	0.9377752138
560	0.9376380636
561	0.9375189613
562	0.9373597818
563	0.9371226215
564	0.9370020709
565	0.9367878951
566	0.9367158606
567	0.9364718879
568	0.936330486
569	0.9360823266
570	0.935857533
571	0.9358515618
572	0.9357931505
573	0.9356300993
574	0.9353411817
575	0.9350879013
576	0.9349700391
577	0.9348843808
578	0.9347608101
579	0.9345192752
580	0.9343551648
581	0.9341518898
582	0.9341390657
583	0.9340628584
584	0.9339392812
585	0.9335575473
586	0.9333889718
587	0.9331604726
588	0.9330115458
589	0.9329564607
590	0.9328789095
591	0.9328357166
592	0.9327319138
593	0.9325755444
