iter	Passed	Remaining
0	3	3395
1	5	2847
2	7	2599
3	9	2454
4	12	2527
5	14	2389
6	15	2224
7	17	2112
8	17	1948
9	19	1892
10	20	1825
11	21	1770
12	22	1703
13	23	1630
14	24	1598
15	25	1561
16	26	1525
17	27	1508
18	28	1475
19	29	1446
20	30	1419
21	31	1386
22	32	1395
23	36	1478
24	38	1489
25	39	1487
26	40	1456
27	41	1428
28	41	1404
29	42	1387
30	43	1364
31	44	1342
32	45	1321
33	45	1300
34	46	1277
35	47	1260
36	47	1243
37	48	1226
38	49	1212
39	49	1199
40	50	1186
41	51	1172
42	52	1160
43	52	1149
44	53	1137
45	54	1125
46	55	1116
47	55	1106
48	56	1096
49	57	1089
50	58	1087
51	59	1082
52	60	1074
53	60	1066
54	61	1058
55	62	1049
56	62	1041
57	63	1035
58	64	1030
59	65	1022
60	65	1015
61	66	1008
62	67	1003
63	68	995
64	68	989
65	69	979
66	69	974
67	70	969
68	71	964
69	72	960
70	73	957
71	74	955
72	74	950
73	75	945
74	76	941
75	77	937
76	77	932
77	78	929
78	79	925
79	80	921
80	80	917
81	81	913
82	82	909
83	83	905
84	83	901
85	84	897
86	85	893
87	85	890
88	86	886
89	87	883
90	88	883
91	89	880
92	89	877
93	90	874
94	91	871
95	92	868
96	93	866
97	93	863
98	94	860
99	95	857
100	96	854
101	96	852
102	97	849
103	98	847
104	99	845
105	99	843
106	100	840
107	101	837
108	102	835
109	103	834
110	103	830
111	104	828
112	105	825
113	105	822
114	106	819
115	107	816
116	107	814
117	108	811
118	109	809
119	110	806
120	110	804
121	111	801
122	112	799
123	112	796
124	113	794
125	114	791
126	114	789
127	115	787
128	116	785
129	116	782
130	117	781
131	118	781
132	119	780
133	120	778
134	121	776
135	122	775
136	122	773
137	123	771
138	124	769
139	124	767
140	125	765
141	126	762
142	126	760
143	127	758
144	128	756
145	128	754
146	129	751
147	130	749
148	130	747
149	131	745
150	132	743
151	133	742
152	134	742
153	134	741
154	135	740
155	136	738
156	137	736
157	137	735
158	138	733
159	139	731
160	139	729
161	140	727
162	141	725
163	141	723
164	142	721
165	143	719
166	143	717
167	144	716
168	145	714
169	145	712
170	146	710
171	147	708
172	148	707
173	148	707
174	149	705
175	150	704
176	151	702
177	151	700
178	152	698
179	153	697
180	153	695
181	154	693
182	154	691
183	155	689
184	156	687
185	156	685
186	157	684
187	158	682
188	158	681
189	159	679
190	160	677
191	160	676
192	161	674
193	162	673
194	162	671
195	163	671
196	164	670
197	165	669
198	165	667
199	166	666
200	167	664
201	167	663
202	168	661
203	169	660
204	169	658
205	170	657
206	171	655
207	171	654
208	172	652
209	173	651
210	173	650
211	174	648
212	175	647
213	175	645
214	176	644
215	177	643
216	177	641
217	178	640
218	179	640
219	180	639
220	180	637
221	181	636
222	182	635
223	182	633
224	183	632
225	184	630
226	184	629
227	185	628
228	186	626
229	186	625
230	187	624
231	188	623
232	188	621
233	189	620
234	190	619
235	190	617
236	191	616
237	192	615
238	192	613
239	193	613
240	194	612
241	195	611
242	195	610
243	196	609
244	197	607
245	197	606
246	198	605
247	199	604
248	199	603
249	200	601
250	201	600
251	201	599
252	202	598
253	203	597
254	203	595
255	204	594
256	205	593
257	205	592
258	206	591
259	207	589
260	207	588
261	208	588
262	209	587
263	210	587
264	211	586
265	212	585
266	213	584
267	213	584
268	214	583
269	215	582
270	216	581
271	216	580
272	217	579
273	218	578
274	219	577
275	219	576
276	220	575
277	221	574
278	221	573
279	222	572
280	223	572
281	224	571
282	225	571
283	226	570
284	227	569
285	227	568
286	228	567
287	229	566
288	229	565
289	230	564
290	231	563
291	231	562
292	232	560
293	233	559
294	233	558
295	234	557
296	235	556
297	235	555
298	236	554
299	237	553
300	237	552
301	238	551
302	239	551
303	240	550
304	240	549
305	241	548
306	242	547
307	242	545
308	243	544
309	244	543
310	244	542
311	245	541
312	246	540
313	246	539
314	247	538
315	248	537
316	248	536
317	249	535
318	250	534
319	250	533
320	251	532
321	252	531
322	252	530
323	253	529
324	254	528
325	255	527
326	255	526
327	256	525
328	257	524
329	258	523
330	258	522
331	259	521
332	260	521
333	260	520
334	261	519
335	262	518
336	262	517
337	263	516
338	264	515
339	264	514
340	265	513
341	266	512
342	266	511
343	267	510
344	268	509
345	268	508
346	269	507
347	270	506
348	271	506
349	272	505
350	272	504
351	273	503
352	274	502
353	274	501
354	275	500
355	276	499
356	277	499
357	277	498
358	278	497
359	279	496
360	279	495
361	280	494
362	281	493
363	282	492
364	282	491
365	283	491
366	284	490
367	285	490
368	286	489
369	286	488
370	287	487
371	288	486
372	289	485
373	289	484
374	290	483
375	291	483
376	291	482
377	292	481
378	293	480
379	293	479
380	294	478
381	295	477
382	295	476
383	296	475
384	297	475
385	298	474
386	298	473
387	299	472
388	300	472
389	301	471
390	302	470
391	302	469
392	303	468
393	304	467
394	304	466
395	305	465
396	306	464
397	306	464
398	307	463
399	308	462
400	309	461
401	309	460
402	310	459
403	311	459
404	311	458
405	312	457
406	313	456
407	314	455
408	314	455
409	315	454
410	316	453
411	317	452
412	317	451
413	318	451
414	319	450
415	320	449
416	320	448
417	321	447
418	322	446
419	322	445
420	323	444
421	324	444
422	324	443
423	325	442
424	326	441
425	327	440
426	327	439
427	328	438
428	329	438
429	329	437
430	330	436
431	331	436
432	332	435
433	333	434
434	333	433
435	334	432
436	335	431
437	335	430
438	336	429
439	337	428
440	337	428
441	338	427
442	338	426
443	339	425
444	340	424
445	340	423
446	341	422
447	342	421
448	343	420
449	343	420
450	344	419
451	345	418
452	346	417
453	346	417
454	347	416
455	348	415
456	348	414
457	349	413
458	350	412
459	350	411
460	351	411
461	352	410
462	353	409
463	353	408
464	354	407
465	354	406
466	355	405
467	356	405
468	357	404
469	357	403
470	358	402
471	359	401
472	359	401
473	361	400
474	363	401
475	364	401
476	366	401
477	367	401
478	368	400
479	369	400
480	370	399
481	370	398
482	371	397
483	372	396
484	373	396
485	373	395
486	374	394
487	375	393
488	376	393
489	377	392
490	378	391
491	378	391
492	379	390
493	380	389
494	380	388
495	381	387
496	382	386
497	382	386
498	383	385
499	384	384
500	385	383
501	385	382
