DataDate,DeviceID,PM2_5,PM10,SOX,NOX,Temp,Hum
2023-08-25 00:00:00,ENE00933,11.0,13.0,563.42,47.85,0.0,0.0
2023-08-25 00:01:00,ENE00933,10.0,11.0,542.59,49.84,0.0,0.0
2023-08-25 00:02:00,ENE00933,10.0,11.0,554.44,48.55,0.0,0.0
2023-08-25 00:03:00,ENE00933,12.0,13.0,560.85,48.28,0.0,0.0
2023-08-25 00:04:00,ENE00933,12.0,14.0,565.09,47.48,0.0,0.0
2023-08-25 00:05:00,ENE00933,10.0,11.0,569.49,46.63,0.0,0.0
2023-08-25 00:06:00,ENE00933,13.0,14.0,568.25,46.15,0.0,0.0
2023-08-25 00:07:00,ENE00933,12.0,13.0,572.34,45.84,0.0,0.0
2023-08-25 00:08:00,ENE00933,13.0,14.0,569.85,46.87,0.0,0.0
2023-08-25 00:09:00,ENE00933,14.0,15.0,569.81,46.98,0.0,0.0
2023-08-25 00:10:00,ENE00933,11.0,12.0,566.8,47.32,0.0,0.0
2023-08-25 00:11:00,ENE00933,12.0,13.0,564.73,46.88,0.0,0.0
2023-08-25 00:12:00,ENE00933,11.0,12.0,569.81,45.38,0.0,0.0
2023-08-25 00:13:00,ENE00933,13.0,14.0,570.95,44.77,0.0,0.0
2023-08-25 00:14:00,ENE00933,12.0,13.0,567.98,44.83,0.0,0.0
2023-08-25 00:15:00,ENE00933,10.0,11.0,570.52,44.37,0.0,0.0
2023-08-25 00:16:00,ENE00933,12.0,13.0,570.33,44.96,0.0,0.0
2023-08-25 00:17:00,ENE00933,12.0,13.0,568.17,45.73,0.0,0.0
2023-08-25 00:18:00,ENE00933,10.0,11.0,561.08,45.86,0.0,0.0
2023-08-25 00:19:00,ENE00933,10.0,11.0,556.94,45.51,0.0,0.0
2023-08-25 00:20:00,ENE00933,9.0,10.0,565.1,46.12,0.0,0.0
2023-08-25 00:21:00,ENE00933,10.0,11.0,556.64,45.76,0.0,0.0
2023-08-25 00:22:00,ENE00933,11.0,12.0,561.1,46.83,0.0,0.0
2023-08-25 00:23:00,ENE00933,10.0,11.0,558.37,47.98,0.0,0.0
2023-08-25 00:24:00,ENE00933,10.0,11.0,541.92,48.79,0.0,0.0
2023-08-25 00:25:00,ENE00933,9.0,10.0,549.74,49.2,0.0,0.0
2023-08-25 00:26:00,ENE00933,10.0,11.0,558.86,48.79,0.0,0.0
2023-08-25 00:27:00,ENE00933,9.0,11.0,561.79,48.32,0.0,0.0
2023-08-25 00:28:00,ENE00933,9.0,10.0,563.65,48.32,0.0,0.0
2023-08-25 00:29:00,ENE00933,9.0,10.0,557.96,48.94,0.0,0.0
2023-08-25 00:30:00,ENE00933,11.0,12.0,552.72,47.98,0.0,0.0
2023-08-25 00:31:00,ENE00933,11.0,13.0,556.1,47.92,0.0,0.0
2023-08-25 00:32:00,ENE00933,8.0,9.0,557.11,48.17,0.0,0.0
2023-08-25 00:33:00,ENE00933,9.0,10.0,554.61,48.62,0.0,0.0
2023-08-25 00:34:00,ENE00933,11.0,12.0,551.91,48.28,0.0,0.0
2023-08-25 00:35:00,ENE00933,11.0,12.0,546.61,48.48,0.0,0.0
2023-08-25 00:36:00,ENE00933,9.0,10.0,548.4,47.24,0.0,0.0
2023-08-25 00:37:00,ENE00933,9.0,10.0,535.71,48.24,0.0,0.0
2023-08-25 00:38:00,ENE00933,11.0,12.0,532.17,48.46,0.0,0.0
2023-08-25 00:39:00,ENE00933,11.0,12.0,544.7,48.84,0.0,0.0
2023-08-25 00:40:00,ENE00933,12.0,13.0,554.63,48.92,0.0,0.0
2023-08-25 00:41:00,ENE00933,13.0,14.0,555.66,48.82,0.0,0.0
2023-08-25 00:42:00,ENE00933,11.0,12.0,554.87,47.93,0.0,0.0
2023-08-25 00:43:00,ENE00933,10.0,11.0,555.21,47.73,0.0,0.0
2023-08-25 00:44:00,ENE00933,11.0,12.0,554.51,48.09,0.0,0.0
2023-08-25 00:45:00,ENE00933,11.0,12.0,553.48,48.59,0.0,0.0
2023-08-25 00:46:00,ENE00933,11.0,12.0,558.37,49.54,0.0,0.0
2023-08-25 00:47:00,ENE00933,10.0,11.0,556.17,50.19,0.0,0.0
2023-08-25 00:48:00,ENE00933,9.0,10.0,550.2,50.86,0.0,0.0
2023-08-25 00:50:00,ENE00933,9.5,10.5,548.59,50.12,0.0,0.0
2023-08-25 00:51:00,ENE00933,8.0,9.0,539.78,49.98,0.0,0.0
2023-08-25 00:53:00,ENE00933,10.0,11.0,544.43,47.94,0.0,0.0
2023-08-25 00:54:00,ENE00933,7.0,8.0,554.11,46.51,0.0,0.0
2023-08-25 00:55:00,ENE00933,8.0,9.0,553.88,46.38,0.0,0.0
2023-08-25 00:56:00,ENE00933,9.0,10.0,609.19,51.13,0.0,0.0
2023-08-25 00:57:00,ENE00933,8.0,9.0,587.09,51.0,0.0,0.0
2023-08-25 00:58:00,ENE00933,9.0,10.0,568.01,50.06,0.0,0.0
2023-08-25 00:59:00,ENE00933,8.0,9.0,540.09,50.6,0.0,0.0
2023-08-25 01:00:00,ENE00933,7.0,8.0,540.55,49.99,0.0,0.0
2023-08-25 01:01:00,ENE00933,7.0,7.0,550.08,49.68,0.0,0.0
2023-08-25 01:02:00,ENE00933,8.0,9.0,553.12,48.34,0.0,0.0
2023-08-25 01:03:00,ENE00933,8.0,9.0,550.38,48.47,0.0,0.0
2023-08-25 01:04:00,ENE00933,9.0,10.0,548.44,49.24,0.0,0.0
2023-08-25 01:05:00,ENE00933,8.0,9.0,539.82,49.19,0.0,0.0
2023-08-25 01:06:00,ENE00933,8.0,9.0,536.64,49.61,0.0,0.0
2023-08-25 01:07:00,ENE00933,8.0,9.0,549.87,48.11,0.0,0.0
2023-08-25 01:09:00,ENE00933,6.0,6.0,560.135,47.285,0.0,0.0
2023-08-25 01:10:00,ENE00933,6.0,6.0,555.76,47.23,0.0,0.0
2023-08-25 01:12:00,ENE00933,6.5,7.0,543.63,48.24,0.0,0.0
2023-08-25 01:13:00,ENE00933,8.0,9.0,541.03,47.41,0.0,0.0
2023-08-25 01:14:00,ENE00933,8.0,9.0,541.14,47.72,0.0,0.0
2023-08-25 01:15:00,ENE00933,7.0,7.0,547.71,48.86,0.0,0.0
2023-08-25 01:16:00,ENE00933,7.0,7.0,548.42,49.14,0.0,0.0
2023-08-25 01:18:00,ENE00933,7.0,7.0,549.36,49.19,0.0,0.0
2023-08-25 01:19:00,ENE00933,7.0,7.0,549.91,48.99,0.0,0.0
2023-08-25 01:20:00,ENE00933,8.0,9.0,545.85,48.96,0.0,0.0
2023-08-25 01:21:00,ENE00933,6.0,6.0,544.13,49.01,0.0,0.0
2023-08-25 01:22:00,ENE00933,8.0,9.0,546.91,48.84,0.0,0.0
2023-08-25 01:23:00,ENE00933,7.0,7.0,547.43,48.63,0.0,0.0
2023-08-25 01:24:00,ENE00933,6.0,6.0,554.65,48.52,0.0,0.0
2023-08-25 01:25:00,ENE00933,7.0,7.0,548.28,50.59,0.0,0.0
2023-08-25 01:26:00,ENE00933,9.0,10.0,542.58,50.76,0.0,0.0
2023-08-25 01:27:00,ENE00933,9.0,10.0,541.78,49.62,0.0,0.0
2023-08-25 01:28:00,ENE00933,9.0,10.0,541.9,49.41,0.0,0.0
2023-08-25 01:29:00,ENE00933,8.0,9.0,546.47,49.22,0.0,0.0
2023-08-25 01:30:00,ENE00933,8.0,9.0,550.42,49.29,0.0,0.0
2023-08-25 01:31:00,ENE00933,8.0,9.0,548.34,49.58,0.0,0.0
2023-08-25 01:32:00,ENE00933,8.0,9.0,534.35,38.33,0.0,0.0
2023-08-25 01:33:00,ENE00933,8.0,9.0,532.27,43.1,0.0,0.0
2023-08-25 01:34:00,ENE00933,8.5,9.5,536.685,45.475,0.0,0.0
2023-08-25 01:36:00,ENE00933,8.0,9.0,540.31,47.52,0.0,0.0
2023-08-25 01:37:00,ENE00933,7.0,7.0,540.82,48.07,0.0,0.0
2023-08-25 01:38:00,ENE00933,8.0,9.0,542.53,48.49,0.0,0.0
2023-08-25 01:39:00,ENE00933,8.0,9.0,548.21,48.78,0.0,0.0
2023-08-25 01:40:00,ENE00933,8.0,9.0,542.44,48.88,0.0,0.0
2023-08-25 01:41:00,ENE00933,8.0,9.0,539.96,48.42,0.0,0.0
2023-08-25 01:42:00,ENE00933,8.0,9.0,546.75,48.34,0.0,0.0
2023-08-25 01:43:00,ENE00933,9.0,10.0,546.76,48.4,0.0,0.0
2023-08-25 01:44:00,ENE00933,9.0,10.0,532.67,49.82,0.0,0.0
2023-08-25 01:45:00,ENE00933,8.0,9.0,522.91,51.1,0.0,0.0
2023-08-25 01:46:00,ENE00933,8.0,9.0,532.33,50.34,0.0,0.0
2023-08-25 01:47:00,ENE00933,9.0,10.0,523.95,50.26,0.0,0.0
2023-08-25 01:48:00,ENE00933,8.0,9.0,519.03,49.76,0.0,0.0
2023-08-25 01:49:00,ENE00933,8.0,9.0,528.37,50.07,0.0,0.0
2023-08-25 01:50:00,ENE00933,8.0,9.0,538.69,49.71,0.0,0.0
2023-08-25 01:51:00,ENE00933,8.0,9.0,538.61,49.06,0.0,0.0
2023-08-25 01:52:00,ENE00933,8.0,9.0,543.36,48.03,0.0,0.0
2023-08-25 01:53:00,ENE00933,8.0,9.0,530.52,47.52,0.0,0.0
2023-08-25 01:54:00,ENE00933,10.0,11.0,532.09,47.27,0.0,0.0
2023-08-25 01:55:00,ENE00933,9.0,10.0,529.09,47.8,0.0,0.0
2023-08-25 01:56:00,ENE00933,10.0,11.0,533.32,48.54,0.0,0.0
2023-08-25 01:57:00,ENE00933,10.0,11.0,527.12,49.32,0.0,0.0
2023-08-25 01:58:00,ENE00933,7.0,8.0,533.95,49.69,0.0,0.0
2023-08-25 01:59:00,ENE00933,9.0,10.0,541.05,50.41,0.0,0.0
2023-08-25 02:00:00,ENE00933,7.0,7.0,536.17,49.73,0.0,0.0
2023-08-25 02:01:00,ENE00933,9.0,10.0,539.37,50.87,0.0,0.0
2023-08-25 02:02:00,ENE00933,10.0,11.0,523.32,51.2,0.0,0.0
