DataDate,PM10,PM2.5,PM2_5_P,PM10_P,Temp_P,Hum_P
2023-09-13 00:00:00,31.455,13.71799,11.19,13.0,18.4,99.57
2023-09-13 00:01:00,31.45239,13.71799,11.93,14.0,18.4,99.24
2023-09-13 00:02:00,31.25289,13.72927,11.86,14.0,18.4,99.65
2023-09-13 00:03:00,31.58476,13.71593,11.84,14.0,18.4,99.81
2023-09-13 00:04:00,31.23071,13.7695,11.19,13.0,18.4,99.56
2023-09-13 00:05:00,31.07837,13.77671,11.17,13.0,18.4,99.69
2023-09-13 00:06:00,31.18433,13.76773,11.94,14.0,18.4,99.13
2023-09-13 00:07:00,31.59253,13.73288,11.83,14.0,18.5,99.82
2023-09-13 00:08:00,31.37606,13.78702,11.88,14.0,18.5,99.46
2023-09-13 00:09:00,31.34082,13.80487,10.5,12.0,18.4,99.55
2023-09-13 00:10:00,31.38985,13.78656,11.94,14.0,18.4,99.17
2023-09-13 00:11:00,31.65755,13.68446,12.59,15.0,18.5,99.31
2023-09-13 00:12:00,31.9624,13.77297,11.88,14.0,18.5,99.46
2023-09-13 00:13:00,31.50334,13.72363,12.58,15.0,18.5,99.43
2023-09-13 00:14:00,31.17924,13.64911,11.83,14.0,18.5,99.82
2023-09-13 00:15:00,31.17533,13.6502,11.89,14.0,18.5,99.41
2023-09-13 00:16:00,31.49072,13.75989,12.52,15.0,18.5,99.81
2023-09-13 00:17:00,31.46509,13.75989,11.86,14.0,18.5,99.58
2023-09-13 00:18:00,31.58402,13.78089,13.29,17.0,18.5,99.26
2023-09-13 00:19:00,32.39697,13.83642,11.14,13.0,18.5,99.82
2023-09-13 00:20:00,33.08862,13.9413,12.51,15.0,18.5,99.86
2023-09-13 00:21:00,33.21924,13.95795,12.52,15.0,18.6,99.73
2023-09-13 00:22:00,33.22347,14.01924,12.6,15.0,18.6,99.2
2023-09-13 00:23:00,33.34945,14.02651,13.27,17.0,18.6,99.35
2023-09-13 00:24:00,33.55664,14.02262,12.53,15.0,18.6,99.66
2023-09-13 00:25:00,33.8042,14.13142,12.54,15.0,18.7,99.51
2023-09-13 00:26:00,33.8042,14.13142,11.92,14.0,18.6,99.14
2023-09-13 00:27:00,34.01318,14.14214,12.58,15.0,18.6,99.35
2023-09-13 00:28:00,33.87508,14.03037,11.86,14.0,18.7,99.43
2023-09-13 00:29:00,33.82422,14.05332,11.83,14.0,18.7,99.62
2023-09-13 00:30:00,33.86873,14.07193,10.44,12.0,18.7,99.68
2023-09-13 00:31:00,34.07463,14.08173,11.81,14.0,18.7,99.75
2023-09-13 00:32:00,34.12646,14.08742,11.12,13.0,18.7,99.75
2023-09-13 00:33:00,34.07397,14.10017,11.86,14.0,18.7,99.47
2023-09-13 00:34:00,34.24365,14.05751,9.8,11.0,18.7,99.39
2023-09-13 00:35:00,34.47412,14.02565,9.73,11.0,18.7,99.85
2023-09-13 00:36:00,34.68815,14.01671,9.77,11.0,18.7,99.6
2023-09-13 00:37:00,34.52059,13.99964,9.78,11.0,18.7,99.54
2023-09-13 00:38:00,34.23478,13.95071,11.15,13.0,18.7,99.57
2023-09-13 00:39:00,34.03711,13.91963,9.76,11.0,18.7,99.67
2023-09-13 00:40:00,33.97884,13.8422,10.49,12.0,18.7,99.36
2023-09-13 00:41:00,33.94987,13.81596,9.15,10.0,18.7,99.14
